comment,rate_class
這書都能吹成糧草，難道是我get不到龍空的點？白就不說了，主角一面說“我於女色不太熱衷”，一面在外出遇險時抱住只見過第一面的同門說“我想要你”，飛升時又要把小師妹做成人肉娃娃，連黑社會修真都算不上。主角還動不動就要回憶一段，以示自己前世多麼痛苦，一個人到陌生的城市喝茶都能痛苦，這情節有腦子？主角都不能算是自私自利，完全是自己神經病也要讓所有人都痛苦。這種書都能在龍空大行其道，真是可悲。,negative
本書都能吹成糧草，難道是我get不到龍空的點？毒就不說了，主角一面說“我於女色不太熱衷”，一面在外出遇險時抱住只見過第一面的同門說“我想要你”，飛升時又要把小師妹做成人肉娃娃，連黑社會修真都算不上。主角還動不動就要回憶一段，以示自己前世多麼痛苦，一個人到陌生的城市喝茶都能痛苦，這情節有腦子？主角都不能算是自私自利，完全是自己神經病也要讓所有人都痛苦。這種書都能在龍空大行其道，真是可悲。,negative
看到殺了女穿越者李靜筠就棄了，作者是為了豬腳成長強行樹立一個大敵來營造緊迫感，強行殺伐果斷。人家女穿越者滿天下要找你是作伴的，你tm認為人家和你不共戴天，強行誤會不解釋然後殺掉，活該孤獨終老。另外豬腳是真正的吃人修煉，我前面竟然忍了下去，直到殺女才棄了，看來我還年輕。簡單講本文就是一個現代人如何變成一個妖魔鬼怪的，毫無仙氣。,negative
“周南的心裡厭煩之極，但是卻又不能置之不理。的確，他現在已經成為了華人的驕傲，但是他對任何華人都沒有責任或者是義務。”這是原文的主角的心理活動，但是主角表現出來不情願了嗎？你站在上帝視角，認為不管什麼事，主角都應該無條件服從是嗎？你今天睡下了，朋友喊你去幫忙，你就連一點抱怨也沒有，非要覺得很榮幸才叫對得起朋友是嗎？——作者對於質疑的的回復。<br>作者自攬髒水，咱就順手一星。,negative
"被作者自己出來洗地，洗成一生黑。當地華人同胞請你吃個中秋飯亮個相，“就覺得自己被道德綁架了，心裡厭煩的不得了。”""的確，他現在已經成為了華人的驕傲，但是他對任何華人都沒有責任或者是義務。“<br>當你的黃皮白心去吧。華人不需要你。",negative
歐美有很多大師，玩科學的，玩發明的，玩音樂繪畫的，玩哲學的...等等，作者拿一個道門大師去比肩我怎麼感覺那麼毒呢，簡直low到沒邊,negative
這個作者我是服的，一句話說所有黑他書的都是撲街作者。。。就沖這句話我這個路人讀者送你個一星。怎麼最近這麼多人腦子都沒長好久來寫小說？,negative
虛偽偽君子三觀不合。作者一直在用解釋來形容自己和德國的養父之間的感情多麼深，囉嗦累贅又沒有說服力。還不如用幾個情節來說明。而最難以置信的是，說了那麼多和養父感情深，暴露動機是自己沒經商天賦，有養父賺錢，自己舒舒服服做二代好。我是被這給毒到了。要麼就立一個黑暗主角，就是要利用養父給自己開道。你偏要強調自己偉光正，這虛偽的…一位作者的三觀很難掩藏，尤其是技術不那麼純熟的作者。看評論似乎後面還有其他虛偽情節，退散了退散了。對三觀毒抗最低。,negative
"<a href=""/n/scf5725226"" target='_blank'>@scf5725226 </a>越看智商越低，作者自己還老說邏輯嚴謹··一個世界性隱秘組織在策劃“大事件”，執行的是小貓兩三隻；沒有任何保護在外面商量被偷聽，就派一隻新手貓去解決；無權無勢無技能的三無廢物偷聽者威脅組織殺了他就宣揚出去，組織表示好好好別說出去都好辦；偷聽者拉著組織成員幹私活，一個成員想給自己弄點額外收入，被偷聽者宰了順便搶了，組織表示好好好你處理的不錯；偷聽者怕組織幹完“大事件”放棄他就把組織外聘關鍵技術人員宰了，組織表示好好好宰了就宰了我們培養你···這tm是抖m組織吧，臉都被打腫了！！！柯南裡的黑衣酒廠都比這強，好歹有個琴酒能辦事，這組織也別策劃什麼大事件了，趕緊補補腦子吧，劇毒",negative
看了目錄 第一章失明，我就知道，先抑後揚，主角真可憐，天煞孤星，主角死爹死媽克死全家或殘疾被各種看不起或被欺辱或被嘲諷，為後面死逼裝逼做好準備。果然，第二章叫 永不言棄 第十一章叫年終大比 我笑了。,negative
女主角曾經是一個妓女，原因是賺錢為男主角治病，當男主角痊癒之後女主角就從良了。老實說，我看不出這個設定對於整部書的立意或是情節發展而言有任何無可取代的特殊之處。女主角不從事性服務，做其它的工作不行嗎？只要作者這樣設定就好了，一樣可以自圓其說，不會影響到整部書的邏輯，也不會體現不出男女主角之間純潔深厚的愛情。像女主角是妓女這樣敏感的設定，如果不是對整部書有獨一無二的價值，只是作者硬要寫，那只能說是傻逼的文青病又犯了。,negative
神TM中學四少毆打同學還開擂臺，神TM打死不管讓家裡擺平，我不是合理黨，但我的智商不能容忍這種傻逼劇情的出現……,negative
剛看這本書，覺得只是一般，看到後來回到花果山，對抗天庭，才覺得這書有點意思，對這書很有好感。直到看到作者整天抱怨盜版，整天抱怨月票少，甚至說出，你不讓我好受，我也不讓你好受，然後就多出了點作者認為很悲情的劇情。我心想，臥槽，這作者咋這麼極品這麼玻璃心，盜版多了去了，又不是只有你自己被盜版，月票少，自己不努力，反而怪讀者。對這個作者的好感急速下滑，後面可能是因為西遊熱，這本書趁熱火了，作者的小尾巴也翹起來了，劇情越來越差，到了後面，直接就跟低俗煽情小白文一樣了，簡直就是煽情到噁心，真受不了這種人。本來想法很好，寫出一本不一樣的西遊記，但是作者並沒有相匹配的文筆，可惜了。書，糧草－，作者，斷腸草！,negative
轉：作者真心毀童年，把孫大聖描寫成一個自私自利，中二病晚期患者。為了屁大點事糾結起來沒完，什麼人、妖、仙，不管有沒有錯，都TM的去死，在作者的心中什麼也沒他自己重要。滿篇的宣揚主角重承諾救雀兒，那他對妖族的承諾呢？原來作者的承諾也是有選擇性的執行。看到他為了過河，用各種酷刑折磨鼉潔時，真心看不下去了。你MB的，明知道他是為了救父親，用得著這麼殘忍嗎？你不神通廣大嗎，不會想其它辦法啊！,negative
看到70多章節，有點無語，已經出現不下五幕無助的咆哮，撕心裂肺的咆哮，絕望的咆哮，煩不煩，師傅是你爹媽幾輩子之前欠你的啊，你是主角隔壁有龍傲天劇場啊，簡直玷污猴哥，一個堂堂正正的英雄，硬生生的演繹一個小肚雞腸，怨天怨地的小人,negative
一個穿越者對菩提滿懷惡意，我真是鬧不明白了，看過西遊的都知道菩提沒有任何一點對不起孫悟空，那是你的授業恩師，教你什麼不教你什麼都是人家的自由，你什麼好處也沒給別人，我想問你憑什麼大逆不道？就只是所謂的腹誹之罪，作者三觀無恥之尤，平生僅見,negative
玷污了猴哥的形象,negative
如果作者性格和豬腳一樣是個傻逼一樣現實中早就被打死了,negative
我不歧視你文青，不歧視你強行虐主，但是不能打著孫悟空的旗號來寫只普通猴子（某些方面還不如普通猴子），你看人家七龍珠雖然已經和女媧沒什麼關係了，當人家一點不普通，人家再魔改，好歹像個孫悟空，這個你要寫個普通猴子就算了，可是你管這叫孫悟空？要點臉，兒時的記憶不是這麼玷污的，人家孫悟空被無上力量打壓妥協（內心妥不妥協不知道），這個是被生活逼迫妥協，真想罵人啊，尤其還看不清現實，智商堪比大猩猩（也就是七歲小孩水準），我一直堅信作者的智商為100的話，角色智商低於不了40高於不了138，誒……有人喜歡我是一點都不懂，果然是和諧社會，物資比較富裕嗎？,negative
女媧補天剩的石頭，吸日月精華，天地靈氣然後就生出來一隻普通的猴子？（媽的，人按照設定不過是女媧隨手捏的，甚至是甩的泥點子）真有意思，強行開虐，這已經文青到有病了，人家孫悟空是為了不死，這求道整得跟傻子似的，然後也強行拉低人類智商，一點準備都沒有就去求道，一個小木筏過海，你穿越前是小學生嗎？小學生都比這有想法，再者把滿天神佛當傻子啊？人家孫悟空一出生，天庭就有感應，再者西遊記本身就虛構的，你吐槽吳承恩，真有意思，本身兩星，但似乎有人喜歡這種強行虐主的一星不能再多了。,negative
毀童年系列，孫悟空的傲氣沒了，猴子的靈性沒了，剩下的只是一些狗血的情懷罷了。,negative
我喜歡的大概永遠是那個戰天鬥地的齊天大聖。<br>所以對談戀愛、畏首畏尾，動不動為所謂的愛人要死要活的大潑猴沒興趣。<br>一星劇毒，這是最高評價。,negative
一個讓你從頭到尾都拿著明白當糊塗的故事，讀者對劇情從頭到尾都懂，作者就是不讓猴子知道，已經劇透到了脫褲子，然後真的是彈小雞雞啊，一百遍啊一百遍，一部耍猴的書，完本扯淡。,negative
作者為了自己理想中的文青劇情一直讓主角處於一種知道未來發展但愣是不動腦子去思考一下，然後被劇情強姦的傻屌狀態。這絕逼是在侮辱現代人的智商！<br>我不信一個“關用戶端”穿越的人會沒腦子到為解決一頭金錢豹而木筏渡海，尤其這筏子還是野猴在一廢宅指令下造的。這就像愚公為出行方便帶子孫移山，屬於文人的浪漫。但一考慮性價比與人性，社會等很不現實，倒是移山便行後等你的是衙門的稅吏勞役更有可能。何況那些猴子等你回來早滅了，你想（享）著他們的好卻為己利不管他們的死直接出海，僅人性上就不是個好東西。<br>所以諸如此類，一本幼兒向的中二童話，鑒於部分內容過於陰暗自私，劇毒。,negative
猴哥可能是殺了作者全家，如來一出場真的是感覺被喂了一口回味無窮的屎，氣的睡不著，現在最大的願望是順著網線給這作者來一刀。,negative
人工智慧會魯莽，人工智慧會自大，人工智慧還會腦殘。,negative
文字累贅。//傻逼吧。主角一個人工智慧，居然會因為忘記聽完騎士說話就亂試呼吸法，導致差點死掉。這怕不是人工智障。,negative
"<a href=""/n/糧草磨坊Ⅲ"" target='_blank'>@糧草磨坊Ⅲ </a> 人工智慧毀滅地球，然後帶著地球上100億靈魂穿越異界。這個人工智慧真的很智慧，在黑洞中都可以主動選擇人類靈魂，不要動物靈魂。<br>然後呢人工智慧穿越到一個人類身體上。既然這個身體是人類的，肯定要符合人體規律咯。但實際上主角立馬變身得和機器人差不多，可以非人類的反關節進行運動。這是在逗我？<br>最大BUG是靈魂穿越又不是大腦穿越，憑什麼穿越後的人類大腦就能運算得像超級電腦一樣？再退一步說，就算大腦能這樣運算，知不知道需要消耗多少能量，我國天河2號功耗1萬多千瓦，作者沒有設定能量來源，靠人類體內的能量像這麼運算只會被瞬間抽成人幹。<br>不知道這作者的邏輯思維出了什麼問題。",negative
三十二公公人品真是極好的，小號書客開書，一看月入3萬立馬太監了起點的書，還假惺惺說稿費太低生活所迫要出去找工作養家糊口，找工作找到書客美滋滋開新書，還給個虛假承諾讓起點的老讀者等著，這真是吃著鍋裡的，還惦記著碗裡的啊。起點老讀者就這樣成了三十二公公的備胎，簡直美滋滋。,negative
起點歷史類小說榜單上的書，成績越好，毒性越強，各個榜單前10的作品全是毒草（新書除外）。不知道別的榜單是否也是如此？,negative
這是寫明朝的書？看人物對話你換個衣服腦袋留根辮子就特麼是清朝書！,negative
這個作者也就這點智商了。我只是覺得起點那些看他小說的讀者，都是智障中學集體閱讀麼，不然為什麼那麼多人捧？,negative
兩章敗退！因為某地方誌記載半個月後會沉船，烏木價格翻倍於是賣田賣家產準備屯烏木等漲價。先不討論烏木這玩意又不是生活必需品，炒作起來真的能獲利多少。本身沉船這事就充滿了偶然性，一陣風一道洋流甚至出發時間晚個把時辰，操帆的水手用的力氣稍微大一點點，都會導致航線發生變化，哪怕偏個十米八米，這船就極有可能不沉了，主角投入這麼大就為了賭這一點點可能性真的大丈夫？沒作者欽定+主角光環恐怕就成了真*敗家子了吧。,negative
一開始，作者說主角是研究明朝的專家，本來還好，結果說主角有多專業呢？哪個縣死了幾個人都知道？光這邊我都可以斷定作者是個腦殘。但我覺得不能這麼武斷，於是又往下看了點。<br>然後就看到了我以為是扮豬吃虎的劇情，沒想到主角真的是個豬。跟一個太監裝B：我就不信你敢抓我。然後就被抓了。哦，還有說閱兵去，主角開心的不行，覺得能顯示他的實力了。結果被抓去了之後，我是誰我在哪為啥打我。你把這主角換成個豬一點違和感都沒有。還神TM專家,negative
看了評論去看的，結果。。。點了一頓千元餐服務員就想釣凱子，2條愛馬仕的絲巾五星級酒店的服務員就能雙飛？您做什麼春秋大夢呢？以為是雞窩？xswl，舔的人還不少,negative
看這種書特容易出戲，某些孩子真以為這麼一筆又一筆來歷不明的錢，花了能啥事沒有？而且某些情節真的不是坑人的黑點軟廣嗎？沒感覺到什麼行雲流水，就一腦殘意淫文，文筆稀爛劇情稀爛，作者假裝土豪博關注罷了，一星毒草（現實裡誰也沒金剛腎合金肝，真有錢的天天扯這些？也就窮人意淫一夜幾次拿酒漱口）,negative
作者對B價完全不瞭解。。建議多去澳門香港逛逛！！,negative
看十九章，可確定主角腦子有病<br>而作者是個爛人<br>––––––<br>四個秀才，一個得了病，另外三個湊錢給他治病仍舊不夠<br>主角想做好事，又想保持自己的紈絝身份<br>就讓他們下跪並喊自己恩師就給他們錢<br>–––––––<br>當然，最不可思議的還是現在的讀者，就這種書居然也能進歷史點擊月榜第一，這是道德的淪喪還是人性的扭曲,negative
開頭三章毒死----明史研究專家穿越，記得前世背過地方縣誌（縣誌能當真？都給你精確到天了？）上說幾天後幾十艘裝烏木的穿在運河上要沉，烏木要漲價，一拍腦袋，賣地！！皇上賞的地都賣了買烏木！-----姑且縣誌記載給你準確到天了，那請問你就不先調查下身處的年代和情況嗎？坐家裡一拍腦袋就賣地買烏木，你告訴我一條運河上面幾十艘船是怎麼一起沉的？被導彈一起轟炸了嗎？就算船沉了，不能挖嗎？木頭都沒了？？皇帝送的地能賣嗎？在明朝沒地意味著什麼？變成下等賤民知道嗎？地沒了翻身都難，地位地位是什麼意思？還有，百姓是等著烏木下鍋救命？烏木漲價厲害你確定賣的出去？滯銷了你去跳樓嗎？----三章看出作者智商！！劇毒！,negative
"加入一份<a href=""/name/詭秘之主"" target='_blank'>《詭秘之主》</a>，再加入一份<a href=""/name/放開那個女巫"" target='_blank'>《放開那個女巫》</a>，然後加入大量劣質催化劑，放在火上烘烤，去其精華，叮咚，你的新產品<a href=""/name/晚鐘教會"" target='_blank'>《晚鐘教會》</a>出來了！",negative
笑死我了，兩個魔女病急亂投胎，各種亂召喚，向主角祈禱，撞運氣把他召喚了出來，求他救自己，然後主角說“我感受到了你們的虔誠。”我也很虔誠啊，每次考試之前，我都會臨時抱佛腳，向佛祖，三清，上帝，安拉祈禱，只要我能過，一定給你們供個大豬頭。,negative
跟風吃屎都趕不上熱乎的,negative
沒有閱讀積累，小學生也敢學人家寫工業革命時代？主角父母都是樸實農民，進城打工，政策改革，攢錢購買公房，父母因公死亡獲得一大筆撫恤，作者是拿自己的生活經歷來套兩百年前吧。和這種中式現代社會制度的西式奇幻相比，聖母跪女啥的也算個事？劇毒。,negative
緊接著，男主抽了投擲精通，說我家欠了錢，我不想上班了。可是公司要成立線上銷售部，我工資從四千漲到五千，好吧，為了多出來的一千，我陸續上班吧。。這是有系統的牛筆男人，服了。再利用投擲，彈力球突然給另一個顏值比女主低一點的女同事發現，哇牛皮，直播吧，飛鏢，套路禮物，六百到手，一人三百。籃球賽一鳴驚人，十多個三分對面跪了，還中場線投。。哇！女同事發春想被艸，男主不解風情（欲擒故縱？），給女主秘書發現。告訴女主。玩遊戲，真心話，你是不是跟她談戀愛。。。。。男主心想咿，你是誰，管的老子，副本裡面又不是真的你。。。我艸了，這套路，十幾年前的什麼狗屁失憶，一樣狗血。還有，這是言情小說是吧，我艸了個DJ,negative
改為一星毒草！！是，你在男頻裡寫女人不錯，以前的書女人也有亮點，但這本書呢？除了女人還有什麼嗎？！這根本就是一本言情小說了,negative
思想習慣了當奴才的人，做夢都站不起來。很不討喜的主角。,negative
這本書就是個標題黨啊！<br>夢境、遊戲，這兩個關鍵字除了夢境能搭上點關係，完全就是本都市情感小說。<br>還是那種八點檔的狗血都市劇類型，主角這舔狗當的也真是難為他了。,negative
作者說主角不是舔狗，我只能說作者自己都是所以不覺得233333,negative
看到第4章，我以為找到一本好書，一下子跳出一個系統，發佈任務，我艸原來是一本網游小說，作者是沖著改編遊戲去的，不看網遊，棄書。,negative
一星劇毒。評論都說第一個副本能看，第二個劇毒，但第一個副本就把我毒倒了。夢境裡的末日，只有主角和女A兩人，主角救了女A，女A吃主角的住主角的，然後跟主角說我看不上你，你離我遠點……作者很詳細地寫了主角的難堪，和主角在言語上的反擊，刻意製造了“主角不是舔狗”的假像(就為了後面用強烈的反差給讀者致命一擊，像不像某些綠文作者的慣用伎倆？)。後來某天刮颱風，主角開始情緒失控，擔心女A在外面受到傷害，滿世界找她，找回來後非要給人家做飯吃(人家不讓他做)，非要給人家處理傷口(人家明確說了不讓他管不讓他碰)，然後還內心竊喜，各種花式跪舔花式發春……這麼賤這麼噁心這麼抖M的主(作)角(者)，真是去nmd吧！！,negative
人物寫的是真無語。<br>主角挑來挑去複製個美女，進去想幹啥心裡也是有b數的，結果人家沒等你提出交配請求就提前說不談感情，主角就覺得難堪了。合作之前先小人後君子這不是合理操作嗎，提前說下自己的底線、條件，話也不是什麼冷嘲熱諷俯視鄙視之類帶情緒說的，類似的場景主角管別人借錢時讓主角寫個條是不是也是看不起主角了，有點自卑傾向。然後主角難受半天，第二天因為不爽，就跟女的說以後分開吃飯，還說你不用勉強自己看我，你不顧及我的自尊我憑啥跟你客氣，難道就因為你有錢漂亮嗎之類的。唉，不談感情就不談，你能不能大氣點，要麼專心合作體驗遊戲，要麼大路朝天各走一邊，結果畫個三八線還只畫一半，“吃飯分開吃”，這打的什麼操作,negative
這書應該放女頻，以為掛了個夢境遊戲的皮，我們讀者就看不出來這其實是都市狗血言情小說？<br>夢兩次，泡兩次妞，出來系統休息半年，充分給足主角泡妞時間，真是任性的金手指。<br>關鍵是兩次夢境都是世界末日，全世界都只剩男主和妹子兩個人，在這種毫無選擇的情況下，主角都費了牛大的勁才能泡到手，這就是“全世界就剩你一個男人我也不選你”的完美闡釋啊！<br>要說女主喜歡男主，不見得。在末日環境下，雕飾男主利用孤獨的環境，生活的壓力，以及恐怖的心理狀態壓跨了女主的心防而已，這只是“斯德哥爾摩綜合症”的弟弟“末日綜合者”而已。<br>這種泡妞手段，簡直堪稱無恥至極。,negative
意淫氣息特別濃，更想看樸實無華的競技小說，作者的籃球知識儲備也是有待商榷，竟然連得分上雙和兩雙都沒有區分來，對其他球星沒有給與公正的評價，給主角的金手指總是可以不可理的投籃技能，這樣就能避免其他知識量相對豐富的籃球技能描寫，比賽場面寫的也是支離破碎。場外觀眾的描寫也總是那麼三板斧，主角輕而易舉就可以和隊友等打成一片，借此黑一下其他中國球員到NBA過於羞澀，然後總是自言自語的寫中國球迷一定會分化成兩部分，一部分對他無腦黑，不知道作者為什麼會有這麼嚴重的迫害妄想症。,negative
這本書相對作者其他的書，差距太大了。一個玩世不恭而且有潔癖的人穿越，先搞衛生，作詩，造酒，造炸藥，搞印刷，獻計獻策。和公主搞曖昧，結果娶了一個不相干的女人。然後開始挖坑，給這個女人經商大牛的光環。居然還有蕭牆的故事。再牛，皇位爭奪人也看不上你。沒權利沒勢力。也就炸藥是自己發明的。還有老程，寫的真是一部唐朝小白文,negative
毒抗高就是任性，但可惜沒有最毒只有更毒。<br>主角得罪皇帝，被派到西域去當官。先是兄弟在後面偷偷跟著主角上路，想當兵立功。<br>然後主角老婆一個人也在後面偷偷跟著主角兄弟，想去找主角。<br>一個商人之女，手無縛雞之力，孤身上路。<br>最後跟丟了，就女扮男裝花錢跟著一支出塞的胡人商隊。<br>胡人也全部是大大的良民，不敢欺負唐人，就算是在荒無人煙的塞外，就算物件只是一個手無縛雞之力的女人，所以主角老婆安全找到主角。<br>為什麼不和主角兄弟一起去找主角呢？因為和一個男人一起上路有損名節。<br>所有就花錢找一群不認識的胡人上路，這就不損名節了。<br>mdzz，千里送逼。,negative
"總有那麼一群人把""這書不帶腦子看的話很不錯”這話掛在嘴上.那麼問題來了.我沒有精神病所以我不瞭解神經病的想法.我不是殺人狂所以我也體會不到從頭殺到尾的快感.同樣的.我邏輯思維智商情商都正常的一個人.我就奇怪怎樣才能不帶腦子辦事..要是只為了一個爽不帶腦子還算了（雖然這樣我也不能理解）.我想問的是那些推薦這書的大神們.誰能告訴我不帶腦子還找虐找憋屈是為了什麼？",negative
我是受不住了。主角簡直就一弱智。。。<br>前面不是鋪墊說主角過目不忘嗎？真蠢得離譜<br>，什麼都需要NPC提醒，主角更是一跪女專家。<br>越回想小說主角的行為越是噁心。毒草,negative
基本上，同人無限流的作者第一二本都是很不錯的，比如學霸，李家成功等等。<br>但是只要書中出現自嗨現象，書的內容直接能下降三個檔次。<br>毒的不能看，我確實不太明白，難道現在喜歡自嗨宅臭無病呻吟類的讀者就這麼多？？？每個作者都越來越智障，無限流是拿來生存超脫的又不是拿來搞笑犯傻的，真是無語<br>通篇的邏輯問題，還搞得主角好像厲害一樣，鑽主神的漏洞？？？？？？這不是把讀者當傻逼就是作者是傻逼，我個人傾向後者,negative
作者的進步之路大概是這樣的：傻逼→大傻逼 <br>比起上一本書，作者似乎是發現了怎麼來比較‘爽’，意淫成分加重<br>有些時候看見這種東西真的會暗自慶倖這世界上沒什麼奇遇給這種玩意,negative
主角高高在上俯視所有配角，實際上剝掉作者賜予的毫無邏輯想多強就有多強的親兒子祝福後，是一個比配角們更low的角色。結局我希望是主角也被另一個高高在上自稱反套路的角色給消滅了(ಡωಡ),negative
主角性格轉變太突兀了，完全是一卷一個性格。在誅仙卷裡是大道聖人模樣，管天下不平事，為百姓立公道，懲惡揚善，人物偉光正。但是到了下一卷仙劍三時明知徐長卿跟紫萱是三世不得善果的戀人，還裝作中了火毒出現在他們面前，逼得紫萱捨身救他（用處子之身救他），救過來後又當著徐長卿面說寫（你老婆真棒的話），簡直劇毒,negative
"流水帳，見女就推，文筆中下，世界觀奇葩。是大眾要求不高，還是我太過獨特，欣賞不來這樣的""優質""小說?",negative
對歷史細節的瞭解是無法掩蓋作者歷史和政治上的極度幼稚,negative
美分是立場問題 ，果粉是智商問題。主角是蔣校長麾下愛將與校長情同父子，把党國上下一個個洗的如同白蓮花一樣，最後共黨占了大陸，主角占了南洋，蔣介石退守澳大利亞。至於為什麼党國上下這麼善良正直努力還是不敵共黨，當然是共黨都被洗腦了拋棄了人的感情就跟邪教一樣煽動泥腿子造反，我黨國愛民如子不忍對百姓下手只能退守。這作者還真是看了本蔣公日誌就敢來寫書啊 ，每次跟人反駁都拿蔣公日誌出來。難道不看別的史書了嗎？,negative
一本腦殘果粉寫出來的書，書名叫鐵骨，實際上應該叫媚骨，主角對他的蔣乾爹是罵不還口，打不離手，他蔣爹爹做什麼都是對的，一句話讓他乖乖交出發展了幾十年的地盤，自己圓潤的跑到東南亞重新白手起家也屁都不敢放一個，作者直接開了金大腿讓主角用了五年時間就把那鬼地方建設成現代化城市，充分暴露了作者在常識方面的幼稚，作似乎還很愛玩血統論，主角的子女個個是天才，運氣超好，在紐約逛個街都能遇到特斯拉然後拐回來，書裡主角無條件敵視TG，視KMT是大救星，但後面又寫KMT消極抗戰，只能說作者精神分裂。,negative
德甲賽季80多球的球員只值2000萬，梅西都要哭了。。。。最近轉會國家隊各方面真是毒點滿滿。。。國家隊跑去打土倫杯不打亞洲杯，從德甲轉英超2000多萬跑去沒歐冠的紐卡，說是為了錢。。。不明白這種球員豪門都那麼窮麼？？豪門出不起？,negative
各種瞧不起龍傲天，但是主角其實和龍傲天沒什麼區別啊，唯我獨尊，有了外掛就有了世界的真理，瞧不起這個，看不上那個，沒有郭靖的道德水準就別佔據道德高地，像九陰九陽的中武世界，以武功打平江湖，卻一門的要科學。像清穿女世界，主角的所作所為也就是個打著道德的幌子的強姦犯而已。,negative
偽君子系男主，坑蒙拐騙偷樣樣在行。<br>自帶弱智光環，穿越一個世界，無論反派BOSS、主角還是NPC……統統變逗比角色，智商減半。<br>三觀比不上大部分龍傲天，把路人女開車撞殘，因為主角覺得辣眼睛。<br>把沒什麼衝突的路人龍抽皮扒筋煉魂，活該人家一身是寶。。。<br>就這樣，還對人鄙視得不得了，自我感覺超級良好，屬於一百步笑五十步那種。<br>也就腦洞值得一看了。,negative
你都吊打五絕了還TM殺個普通江湖路人甲比丙丁畏首畏尾，人家都TM打到你家門口了 ，還TM笑呵呵的說不生氣 ，還告訴身邊的美女花瓶也別生氣 ，你不生氣 你爹都要被氣死了。,negative
一再強調男主角相貌平凡 相貌普通 有意思？麻痹的 我那麼帥 你讓我怎麼帶入一個相貌平凡的主角,negative
呵呵，開頭36個嬰兒病危，主角來了隨便一看就知道病因，大發神威隨便針灸下就治好了，這TM是哪個位面的中醫啊。這種小說最大的壞處是讓有些輕信的讀者以為中醫無所不能，結果得了病不好好吃西藥，小病拖大病。好了，大發神威，院長看到了，然後就要嫁孫女，這TM還是現代人麼？有些事兒，你放古代背景還行，放現代背景就讓人無語。中醫裡面可能有些有用的東西，不過大部分都是糟粕，舉例來說，蝙蝠糞能明目？青蒿素的成功也是採用了現代的方法，跟傳統中醫的方法沒有一毛錢的聯繫。這種叫囂中醫完勝現代醫學的，不是蠢就是壞。,negative
作為白皮藍血控以及西方貴族就是好陣營，這個寫手的爛香蕉程度在起點諸多美分裡也算是獨樹一幟的牛，也就是404大法作用之下讓這位元的黑歷史全部消失了，否則以他的前科，這本書不強行喂翔才叫 不科學，狂想+妄想，充斥著嚮往吃喝嫖賭的墮落生活的野心，怎麼說呢，反正我是不會去看,negative
就因為抄襲俄羅斯方塊只後不好命名，就把專利權和著作權讓給個蘇聯人。我實在想不明白作者這腦子怎麼長的。,negative
看了第二章就敗退了，神TM跨時代遊戲製作人還去參加校招，你以為遊戲製作人是什麼？這種級別的製作人一大堆人拿著錢求他花好嗎？作者絕對不可能是遊戲行業內的人，大概率是一個覺得自己懂得很多遊戲方面的知識然後就去應聘策劃，結果卻慘遭淘汰的人，然後自己感覺很不服氣來寫了這一本YY小說。0分劇毒,negative
自我感覺良好的一本書，完全不知道寫的是什麼。淩亂的劇情，極差的文筆。一章看下區的欲望都沒有的書，也是醉了。劇毒,negative
這是什麼鬼，誰給推薦的，大中午的我覺得自己宛如智障居然打開這本書，不該看見主神流就點開的，對女讀者太不友好了,negative
這種套路都能5星？？<br>這不就和特種兵王回都市一個套路？給美女打工，沒見過女人一樣,negative
主角智障，章節末尾各種說明安撫讀者，說是後期有伏筆。此種書，半路太監居多，因為智障就是智障，智障無後期，即使有後期，凡是信了的多半要吃屎。設定也是常見的必毒設定，每次輪回隨機成為輪回世界的人物，這種設定，作者想寫什麼，懂得都懂，基本都是無限流必須要規避的毒點，不用多說吧。17.04.08評,negative
"驢吊想操老鼠b,自稱大公司遊戲人,自己不會拉人開工作室,還他媽去小公司應聘還被拒絕？怕不是你這個遊戲人玩的是彈彈珠哦.",negative
不是做遊戲的，不懂這一行！但就我知道，一個普通的技術人員，只要工作過3年，刷一下簡歷，就會有很多獵頭打電話！像這樣的有很有名的成果出來，別人都盯著呢，平時沒心思跳都會有獵頭拉著談心！離職了別人還不知道的，那就是瞎扯！所以說邏輯基本沒有，完全是為了劇情原因！,negative
腦殘的二逼主角，落後于時代的人物設定，感覺在看5年前的網文。<br>主神，看的是什麼，難道是不帶腦子的主角？,negative
外行寫內行，甚至讓人感覺外行到了你是不是不玩遊戲的感覺。<br>真感覺有些人無腦硬吹了。<br>你能想像小島秀夫、宮崎英高、冰蛙這種級別的遊戲製作人離職之後去參加校招嗎？<br>這種弱智劇情都能6.1分？<br>劇毒不謝,negative
前兩章敗退。作為開發一個大牛級的遊戲人，去校招，去小公司面試，還被2家公司趕出來了，到女主貌似？這是第三家，太搞笑了，你重生人士做了一次爆款遊戲，自己離職想做遊戲還怕找不到人？就不給別人工資，用點工作室股份都可以在原來遊戲團隊拉幾個出來，現實中夢幻西游的老徐初中畢業都能自己出來建立工作室混的好，你這重生的已經是業內有名的大牛，還去校招，還去被人趕出來。,negative
就說那個林欣然，人設是14歲逃婚的養女，然後有遊戲天賦，16歲拿了WAR3中國區亞軍。後面寫代言lol的時候，又變成她前面玩永恆，還做過第一公會會長。你寫人設自己不看的麼？張口就來啊。這本書6.4分，就是龍空某些團體不要碧蓮的硬推結果了。,negative
